item,views,likes,ctr
117,167,23,0.137724549
118,167,24,0.14371258
119,152,22,0.144736841
120,138,21,0.152173907
121,173,23,0.132947981
122,156,21,0.134615391
123,148,17,0.114864863
124,154,22,0.142857149
125,166,23,0.138554215
126,160,23,0.143749997
127,137,21,0.153284669
128,157,18,0.114649683
129,139,19,0.136690646
130,143,21,0.146853149
131,184,30,0.163043484
132,135,20,0.148148149
133,146,18,0.12328767
134,140,24,0.171428576
135,144,21,0.145833328
136,119,14,0.117647059
137,138,23,0.166666672
138,135,17,0.125925928
139,129,13,0.100775197
140,123,19,0.154471546
141,129,18,0.139534891
142,124,15,0.120967738
143,126,23,0.182539687
144,147,26,0.176870748
145,133,19,0.142857149
146,127,22,0.173228353
147,110,21,0.190909088
148,148,16,0.108108111
149,143,18,0.125874132
150,139,10,0.0719424486
151,141,18,0.127659574
152,123,13,0.10569106
153,122,25,0.204918027
154,108,17,0.157407403
155,135,23,0.17037037
156,115,26,0.226086959
157,118,18,0.152542368
158,113,15,0.132743359
159,128,19,0.1484375
160,116,20,0.172413796
161,98,10,0.10204082
162,107,16,0.149532706
163,116,13,0.112068966
164,113,23,0.203539819
165,111,19,0.171171173
166,114,12,0.105263159
167,98,15,0.153061226
168,120,10,0.0833333358
169,96,9,0.09375
170,114,17,0.149122804
171,98,9,0.0918367356
172,122,16,0.131147534
173,102,12,0.117647059
174,105,19,0.180952385
175,125,22,0.175999999
176,126,23,0.182539687
177,121,17,0.140495867
178,117,22,0.188034192
179,95,12,0.126315787
180,81,13,0.160493821
181,113,14,0.123893805
182,109,18,0.165137619
183,108,15,0.138888896
184,89,6,0.0674157292
185,101,14,0.138613865
186,111,17,0.153153151
187,110,9,0.0818181783
188,116,14,0.120689653
189,106,18,0.169811323
190,98,9,0.0918367356
191,95,12,0.126315787
192,106,15,0.141509429
193,102,14,0.137254909
194,93,18,0.193548381
195,94,15,0.159574464
196,82,7,0.0853658542
197,109,15,0.137614682
198,95,10,0.105263159
199,84,9,0.107142858
200,95,14,0.147368416
201,90,13,0.144444451
202,96,18,0.1875
203,96,25,0.260416657
204,83,12,0.144578308
205,83,7,0.0843373463
206,81,15,0.185185179
207,98,14,0.142857149
208,94,17,0.180851057
209,87,13,0.149425283
210,87,13,0.149425283
211,78,17,0.21794872
212,88,14,0.159090906
213,93,16,0.172043011
214,102,11,0.107843138
215,72,6,0.0833333358
216,88,13,0.147727266
217,80,10,0.125
218,97,14,0.144329891
219,70,11,0.157142863
220,80,8,0.100000001
221,91,12,0.131868139
222,87,7,0.0804597735
223,92,14,0.152173907
224,89,9,0.101123594
225,93,7,0.0752688199
226,94,12,0.127659574
227,106,12,0.113207549
228,80,9,0.112499997
229,68,13,0.191176474
230,95,15,0.157894731
231,64,9,0.140625
232,81,10,0.123456791
233,78,10,0.128205135
234,75,7,0.0933333337
235,92,16,0.173913047
236,61,13,0.213114753
237,84,8,0.095238097
238,91,12,0.131868139
239,88,12,0.13636364
240,95,15,0.157894731
241,72,4,0.055555556
242,73,8,0.10958904
243,83,10,0.120481931
244,83,14,0.168674693
245,80,11,0.137500003
246,67,8,0.119402982
247,73,8,0.10958904
248,84,12,0.142857149
249,68,12,0.176470593
250,79,13,0.164556965
251,81,12,0.148148149
252,64,8,0.125
253,79,17,0.215189874
254,89,15,0.16853933
255,65,15,0.230769232
256,59,11,0.186440676
257,83,12,0.144578308
258,66,10,0.151515156
259,78,8,0.102564104
260,77,8,0.103896104
261,80,10,0.125
262,81,9,0.111111112
263,74,9,0.121621624
264,80,7,0.0874999985
265,65,10,0.15384616
266,81,7,0.0864197537
267,69,12,0.173913047
268,76,11,0.144736841
269,73,18,0.246575341
270,72,8,0.111111112
271,61,10,0.163934425
272,65,10,0.15384616
273,73,13,0.178082198
274,63,9,0.142857149
275,65,9,0.138461545
276,71,12,0.169014081
277,80,15,0.1875
278,74,9,0.121621624
279,77,12,0.155844152
280,58,10,0.172413796
281,68,5,0.0735294148
282,56,6,0.107142858
283,71,9,0.126760557
284,70,11,0.157142863
285,51,9,0.176470593
286,71,5,0.0704225376
287,70,7,0.100000001
288,68,10,0.14705883
289,60,11,0.183333337
290,53,7,0.132075474
291,76,8,0.105263159
292,66,7,0.106060609
293,70,3,0.042857144
294,61,8,0.131147534
295,70,8,0.114285715
296,59,10,0.169491529
297,75,11,0.146666661
298,60,8,0.13333334
299,76,10,0.131578952
300,65,11,0.169230774
301,63,11,0.174603179
302,84,11,0.130952388
303,57,10,0.175438598
304,65,10,0.15384616
305,66,8,0.121212125
306,54,8,0.148148149
307,48,7,0.145833328
308,60,9,0.150000006
309,56,10,0.178571433
310,63,7,0.111111112
311,65,8,0.123076923
312,48,6,0.125
313,65,15,0.230769232
314,62,9,0.145161286
315,66,10,0.151515156
316,60,16,0.266666681
317,58,10,0.172413796
318,61,6,0.0983606577
319,52,6,0.115384616
320,63,9,0.142857149
321,63,6,0.095238097
322,59,4,0.0677966103
323,57,5,0.0877192989
324,56,9,0.160714284
325,63,10,0.158730164
326,50,9,0.180000007
327,51,6,0.117647059
328,60,10,0.166666672
329,50,7,0.140000001
330,70,6,0.0857142881
331,46,7,0.152173907
332,57,7,0.122807018
333,57,3,0.0526315793
334,70,8,0.114285715
335,71,9,0.126760557
336,46,9,0.195652172
337,57,3,0.0526315793
338,61,8,0.131147534
339,50,8,0.159999996
340,38,5,0.131578952
341,52,10,0.192307696
342,47,1,0.0212765951
343,51,6,0.117647059
344,70,9,0.128571436
345,49,4,0.0816326514
346,64,14,0.21875
347,64,6,0.09375
348,49,8,0.163265303
349,58,8,0.137931034
350,57,12,0.210526317
351,41,8,0.195121944
352,58,5,0.0862068981
353,49,7,0.142857149
354,57,8,0.140350878
355,60,9,0.150000006
356,51,12,0.235294119
357,61,9,0.147540987
358,56,7,0.125
359,46,10,0.217391297
360,57,8,0.140350878
361,46,4,0.0869565234
362,53,4,0.0754716992
363,52,9,0.173076928
364,44,5,0.113636367
365,39,9,0.230769232
366,40,10,0.25
367,62,8,0.129032254
368,52,7,0.134615391
369,58,10,0.172413796
370,55,5,0.0909090936
371,50,11,0.219999999
372,49,4,0.0816326514
373,48,4,0.0833333358
374,41,1,0.024390243
375,65,10,0.15384616
376,47,4,0.0851063803
377,48,4,0.0833333358
378,41,5,0.121951222
379,45,6,0.13333334
380,56,6,0.107142858
381,41,5,0.121951222
382,50,8,0.159999996
383,56,6,0.107142858
384,53,7,0.132075474
385,45,7,0.155555561
386,47,4,0.0851063803
387,41,8,0.195121944
388,48,7,0.145833328
389,55,9,0.163636357
390,41,3,0.073170729
391,55,10,0.181818187
392,58,5,0.0862068981
393,43,4,0.0930232555
394,56,10,0.178571433
395,40,6,0.150000006
396,38,4,0.105263159
397,45,7,0.155555561
398,46,10,0.217391297
399,42,3,0.0714285746
400,54,8,0.148148149
401,47,9,0.191489369
402,60,7,0.116666667
403,40,9,0.224999994
404,36,2,0.055555556
405,50,8,0.159999996
406,58,11,0.18965517
407,55,6,0.109090909
408,39,6,0.15384616
409,39,9,0.230769232
410,40,5,0.125
411,43,3,0.0697674453
412,55,8,0.145454541
413,36,6,0.166666672
414,40,6,0.150000006
415,30,7,0.233333334
416,51,14,0.274509817
417,42,8,0.190476194
418,47,9,0.191489369
419,38,2,0.0526315793
420,44,7,0.159090906
421,54,6,0.111111112
422,40,5,0.125
423,37,7,0.189189196
424,56,10,0.178571433
425,37,4,0.108108111
426,54,7,0.129629627
427,47,9,0.191489369
428,34,6,0.176470593
429,41,7,0.170731708
430,46,6,0.130434781
431,46,3,0.0652173907
432,58,7,0.120689653
433,45,4,0.088888891
434,57,9,0.157894731
435,45,5,0.111111112
436,41,10,0.243902445
437,36,6,0.166666672
438,40,3,0.075000003
439,42,3,0.0714285746
440,40,9,0.224999994
441,44,7,0.159090906
442,44,7,0.159090906
443,41,5,0.121951222
444,42,6,0.142857149
445,38,6,0.157894731
446,40,7,0.174999997
447,42,7,0.166666672
448,52,9,0.173076928
449,52,7,0.134615391
450,48,5,0.104166664
451,53,11,0.207547173
452,37,6,0.162162155
453,42,5,0.119047619
454,36,4,0.111111112
455,43,3,0.0697674453
456,30,3,0.100000001
457,35,2,0.0571428575
458,36,3,0.0833333358
459,45,10,0.222222224
460,39,9,0.230769232
461,27,5,0.185185179
462,52,8,0.15384616
463,37,4,0.108108111
464,40,5,0.125
465,36,7,0.194444448
466,31,5,0.161290318
467,33,1,0.0303030312
468,30,0,0
469,35,4,0.114285715
470,47,1,0.0212765951
471,46,9,0.195652172
472,37,3,0.0810810775
473,37,6,0.162162155
474,36,4,0.111111112
475,60,11,0.183333337
476,41,6,0.146341458
477,42,9,0.214285716
478,36,4,0.111111112
479,52,7,0.134615391
480,43,8,0.186046511
481,35,5,0.142857149
482,43,4,0.0930232555
483,38,11,0.289473683
484,51,8,0.156862751
485,36,2,0.055555556
486,43,5,0.116279073
487,32,7,0.21875
488,42,2,0.0476190485
489,27,4,0.148148149
490,32,7,0.21875
491,36,6,0.166666672
492,33,4,0.121212125
493,28,5,0.178571433
494,31,8,0.258064508
495,50,4,0.0799999982
496,35,5,0.142857149
497,43,7,0.162790701
498,42,12,0.285714298
499,33,5,0.151515156
500,36,5,0.138888896
501,51,12,0.235294119
502,48,8,0.166666672
503,37,4,0.108108111
504,36,5,0.138888896
505,30,1,0.0333333351
506,38,2,0.0526315793
507,33,7,0.212121218
508,41,9,0.219512194
509,42,7,0.166666672
510,30,4,0.13333334
511,40,2,0.0500000007
512,32,4,0.125
513,34,5,0.14705883
514,42,4,0.095238097
515,33,3,0.0909090936
516,33,4,0.121212125
517,43,5,0.116279073
518,41,6,0.146341458
519,40,8,0.200000003
520,40,6,0.150000006
521,29,4,0.137931034
522,30,2,0.0666666701
523,38,4,0.105263159
524,34,4,0.117647059
525,34,3,0.0882352963
526,43,5,0.116279073
527,37,7,0.189189196
528,32,3,0.09375
529,32,6,0.1875
530,34,4,0.117647059
531,35,4,0.114285715
532,46,5,0.108695649
533,39,3,0.0769230798
534,36,4,0.111111112
535,26,4,0.15384616
536,33,12,0.363636374
537,42,4,0.095238097
538,33,4,0.121212125
539,32,2,0.0625
540,46,7,0.152173907
541,30,7,0.233333334
542,25,1,0.0399999991
543,27,7,0.259259254
544,28,6,0.214285716
545,34,6,0.176470593
546,38,4,0.105263159
547,36,8,0.222222224
548,42,3,0.0714285746
549,37,2,0.0540540554
550,32,2,0.0625
551,54,7,0.129629627
552,42,6,0.142857149
553,39,5,0.128205135
554,40,8,0.200000003
555,35,3,0.0857142881
556,35,4,0.114285715
557,44,5,0.113636367
558,24,3,0.125
559,34,3,0.0882352963
560,32,5,0.15625
561,31,7,0.225806445
562,23,1,0.0434782617
563,37,6,0.162162155
564,41,4,0.097560972
565,35,6,0.171428576
566,34,6,0.176470593
567,40,5,0.125
568,41,7,0.170731708
569,25,4,0.159999996
570,38,6,0.157894731
571,28,3,0.107142858
572,27,4,0.148148149
573,30,6,0.200000003
574,36,7,0.194444448
575,37,6,0.162162155
576,43,2,0.0465116277
577,29,4,0.137931034
578,31,7,0.225806445
579,38,4,0.105263159
580,23,1,0.0434782617
581,22,2,0.0909090936
582,32,5,0.15625
583,39,5,0.128205135
584,41,4,0.097560972
585,28,4,0.142857149
586,32,5,0.15625
587,34,2,0.0588235296
588,34,3,0.0882352963
589,42,5,0.119047619
590,35,4,0.114285715
591,32,4,0.125
592,31,9,0.290322572
593,33,3,0.0909090936
594,28,5,0.178571433
595,31,9,0.290322572
596,33,6,0.181818187
597,30,9,0.300000012
598,39,8,0.205128208
599,31,5,0.161290318
600,22,5,0.227272734
601,19,3,0.157894731
602,24,4,0.166666672
603,38,5,0.131578952
604,44,9,0.204545453
605,29,3,0.103448279
606,37,6,0.162162155
607,25,3,0.119999997
608,29,7,0.241379306
609,34,3,0.0882352963
610,30,5,0.166666672
611,27,2,0.0740740746
612,27,8,0.296296299
613,28,0,0
614,31,6,0.193548381
615,34,3,0.0882352963
616,33,5,0.151515156
617,45,8,0.177777782
618,34,4,0.117647059
619,23,0,0
620,43,8,0.186046511
621,28,3,0.107142858
622,35,4,0.114285715
623,27,5,0.185185179
624,28,4,0.142857149
625,31,4,0.129032254
626,25,5,0.200000003
627,30,8,0.266666681
628,25,2,0.0799999982
629,33,8,0.24242425
630,30,4,0.13333334
631,33,5,0.151515156
632,35,5,0.142857149
633,26,7,0.269230783
634,30,6,0.200000003
635,32,5,0.15625
636,24,3,0.125
637,31,3,0.0967741907
638,22,2,0.0909090936
639,29,3,0.103448279
640,27,4,0.148148149
641,26,4,0.15384616
642,19,4,0.210526317
643,27,6,0.222222224
644,22,3,0.13636364
645,30,2,0.0666666701
646,27,4,0.148148149
647,27,3,0.111111112
648,50,8,0.159999996
649,29,2,0.068965517
650,29,1,0.0344827585
651,17,3,0.176470593
652,32,7,0.21875
653,31,0,0
654,20,2,0.100000001
655,23,5,0.217391297
656,32,1,0.03125
657,26,3,0.115384616
658,28,3,0.107142858
659,34,4,0.117647059
660,27,3,0.111111112
661,28,2,0.0714285746
662,30,3,0.100000001
663,32,5,0.15625
664,33,4,0.121212125
665,42,5,0.119047619
666,31,2,0.0645161271
667,25,5,0.200000003
668,31,3,0.0967741907
669,26,3,0.115384616
670,20,3,0.150000006
671,31,3,0.0967741907
672,30,2,0.0666666701
673,29,1,0.0344827585
674,17,3,0.176470593
675,31,6,0.193548381
676,17,1,0.0588235296
677,22,4,0.181818187
678,14,1,0.0714285746
679,26,5,0.192307696
680,34,3,0.0882352963
681,29,4,0.137931034
682,21,4,0.190476194
683,33,7,0.212121218
684,30,5,0.166666672
685,20,3,0.150000006
686,28,4,0.142857149
687,24,0,0
688,30,2,0.0666666701
689,18,5,0.277777791
690,20,3,0.150000006
691,23,1,0.0434782617
692,24,5,0.208333328
693,30,4,0.13333334
694,34,9,0.264705896
695,33,6,0.181818187
696,28,5,0.178571433
697,24,2,0.0833333358
698,29,2,0.068965517
699,29,6,0.206896558
700,26,5,0.192307696
701,19,3,0.157894731
702,22,3,0.13636364
703,24,6,0.25
704,26,5,0.192307696
705,31,2,0.0645161271
706,16,3,0.1875
707,28,2,0.0714285746
708,23,1,0.0434782617
709,37,5,0.135135129
710,31,8,0.258064508
711,29,5,0.172413796
712,25,1,0.0399999991
713,26,4,0.15384616
714,24,6,0.25
715,34,9,0.264705896
716,30,2,0.0666666701
717,23,3,0.130434781
718,36,2,0.055555556
719,23,3,0.130434781
720,35,5,0.142857149
721,37,8,0.216216221
722,20,5,0.25
723,24,4,0.166666672
724,24,5,0.208333328
725,22,3,0.13636364
726,28,3,0.107142858
727,25,4,0.159999996
728,25,3,0.119999997
729,15,3,0.200000003
730,26,2,0.0769230798
731,26,1,0.0384615399
732,24,9,0.375
733,29,1,0.0344827585
734,30,5,0.166666672
735,25,5,0.200000003
736,25,4,0.159999996
737,28,5,0.178571433
738,34,5,0.14705883
739,23,6,0.260869563
740,28,4,0.142857149
741,28,3,0.107142858
742,30,0,0
743,29,3,0.103448279
744,19,4,0.210526317
745,27,5,0.185185179
746,13,1,0.0769230798
747,26,1,0.0384615399
748,31,2,0.0645161271
749,25,4,0.159999996
750,29,3,0.103448279
751,22,5,0.227272734
752,23,1,0.0434782617
753,12,0,0
754,23,2,0.0869565234
755,23,0,0
756,27,2,0.0740740746
757,24,5,0.208333328
758,25,8,0.319999993
759,29,3,0.103448279
760,26,2,0.0769230798
761,23,3,0.130434781
762,26,5,0.192307696
763,24,1,0.0416666679
764,21,5,0.238095239
765,25,4,0.159999996
766,25,2,0.0799999982
767,23,4,0.173913047
768,17,3,0.176470593
769,24,4,0.166666672
770,26,3,0.115384616
771,35,6,0.171428576
772,27,4,0.148148149
773,21,2,0.095238097
774,21,0,0
775,30,3,0.100000001
776,23,2,0.0869565234
777,33,3,0.0909090936
778,23,4,0.173913047
779,29,4,0.137931034
780,24,4,0.166666672
781,18,1,0.055555556
782,17,2,0.117647059
783,19,5,0.263157904
784,21,3,0.142857149
785,19,4,0.210526317
786,30,4,0.13333334
787,20,2,0.100000001
788,24,5,0.208333328
789,27,6,0.222222224
790,26,4,0.15384616
791,17,3,0.176470593
792,34,3,0.0882352963
793,24,5,0.208333328
794,23,2,0.0869565234
795,19,3,0.157894731
796,20,5,0.25
797,19,3,0.157894731
798,29,4,0.137931034
799,24,0,0
800,25,3,0.119999997
801,26,1,0.0384615399
802,16,4,0.25
803,26,2,0.0769230798
804,16,5,0.3125
805,26,4,0.15384616
806,28,2,0.0714285746
807,20,2,0.100000001
808,29,1,0.0344827585
809,24,5,0.208333328
810,25,1,0.0399999991
811,16,1,0.0625
812,30,3,0.100000001
813,19,1,0.0526315793
814,23,3,0.130434781
815,18,3,0.166666672
816,26,6,0.230769232
817,19,5,0.263157904
818,28,4,0.142857149
819,26,4,0.15384616
820,23,2,0.0869565234
821,17,1,0.0588235296
822,20,0,0
823,23,3,0.130434781
824,16,1,0.0625
825,28,3,0.107142858
826,25,0,0
827,23,2,0.0869565234
828,24,0,0
829,22,4,0.181818187
830,25,5,0.200000003
831,17,1,0.0588235296
832,17,3,0.176470593
833,19,2,0.105263159
834,23,1,0.0434782617
835,16,3,0.1875
836,24,5,0.208333328
837,30,4,0.13333334
838,18,1,0.055555556
839,18,4,0.222222224
840,24,3,0.125
841,23,5,0.217391297
842,25,8,0.319999993
843,23,3,0.130434781
844,34,5,0.14705883
845,26,2,0.0769230798
846,20,5,0.25
847,17,2,0.117647059
848,29,2,0.068965517
849,23,2,0.0869565234
850,17,2,0.117647059
851,22,4,0.181818187
852,31,2,0.0645161271
853,19,3,0.157894731
854,17,2,0.117647059
855,28,3,0.107142858
856,19,0,0
857,34,6,0.176470593
858,32,3,0.09375
859,26,4,0.15384616
860,29,4,0.137931034
861,22,4,0.181818187
862,21,3,0.142857149
863,21,2,0.095238097
864,20,2,0.100000001
865,22,3,0.13636364
866,26,3,0.115384616
867,21,5,0.238095239
868,25,6,0.239999995
869,20,1,0.0500000007
870,22,3,0.13636364
871,19,1,0.0526315793
872,13,0,0
873,23,2,0.0869565234
874,19,2,0.105263159
875,30,1,0.0333333351
876,22,3,0.13636364
877,19,1,0.0526315793
878,24,2,0.0833333358
879,26,2,0.0769230798
880,30,3,0.100000001
881,19,2,0.105263159
882,29,6,0.206896558
883,15,3,0.200000003
884,23,4,0.173913047
885,20,4,0.200000003
886,20,4,0.200000003
887,21,5,0.238095239
888,20,2,0.100000001
889,14,0,0
890,24,3,0.125
891,28,5,0.178571433
892,19,2,0.105263159
893,25,3,0.119999997
894,16,4,0.25
895,27,4,0.148148149
896,19,6,0.315789461
897,18,1,0.055555556
898,26,3,0.115384616
899,15,2,0.13333334
900,25,4,0.159999996
901,18,2,0.111111112
902,11,0,0
903,31,4,0.129032254
904,22,6,0.272727281
905,21,7,0.333333343
906,28,4,0.142857149
907,20,1,0.0500000007
908,18,2,0.111111112
909,22,3,0.13636364
910,17,1,0.0588235296
911,20,0,0
912,23,3,0.130434781
913,22,5,0.227272734
914,16,3,0.1875
915,22,4,0.181818187
916,23,2,0.0869565234
917,16,3,0.1875
918,28,4,0.142857149
919,18,2,0.111111112
920,15,1,0.0666666701
921,13,0,0
922,22,4,0.181818187
923,26,4,0.15384616
924,21,1,0.0476190485
925,29,8,0.275862068
926,22,0,0
927,16,1,0.0625
928,25,3,0.119999997
929,16,7,0.4375
930,15,1,0.0666666701
931,15,1,0.0666666701
932,20,3,0.150000006
933,28,5,0.178571433
934,17,2,0.117647059
935,23,9,0.391304344
936,28,4,0.142857149
937,20,3,0.150000006
938,17,1,0.0588235296
939,25,3,0.119999997
940,17,2,0.117647059
941,19,2,0.105263159
942,16,2,0.125
943,24,4,0.166666672
944,17,3,0.176470593
945,23,2,0.0869565234
946,27,5,0.185185179
947,16,1,0.0625
948,12,2,0.166666672
949,19,5,0.263157904
950,22,1,0.0454545468
951,23,2,0.0869565234
952,11,0,0
953,30,5,0.166666672
954,21,4,0.190476194
955,20,3,0.150000006
956,20,4,0.200000003
957,21,1,0.0476190485
958,18,0,0
959,26,4,0.15384616
960,20,3,0.150000006
961,28,5,0.178571433
962,22,4,0.181818187
963,14,4,0.285714298
964,27,3,0.111111112
965,21,4,0.190476194
966,17,3,0.176470593
967,19,4,0.210526317
968,23,5,0.217391297
969,22,3,0.13636364
970,23,2,0.0869565234
971,27,5,0.185185179
972,18,0,0
973,17,0,0
974,11,2,0.181818187
975,15,3,0.200000003
976,17,3,0.176470593
977,14,2,0.142857149
978,21,3,0.142857149
979,16,3,0.1875
980,20,4,0.200000003
981,18,3,0.166666672
982,16,0,0
983,16,3,0.1875
984,19,3,0.157894731
985,18,1,0.055555556
986,18,2,0.111111112
987,15,3,0.200000003
988,18,4,0.222222224
989,18,2,0.111111112
990,19,2,0.105263159
991,19,4,0.210526317
992,15,4,0.266666681
993,25,4,0.159999996
994,20,1,0.0500000007
995,20,5,0.25
996,29,4,0.137931034
997,11,3,0.272727281
998,13,1,0.0769230798
999,19,1,0.0526315793
1000,18,0,0
1001,18,0,0
1002,11,2,0.181818187
1003,19,3,0.157894731
1004,21,2,0.095238097
1005,15,0,0
1006,20,4,0.200000003
1007,17,3,0.176470593
1008,21,3,0.142857149
1009,7,2,0.285714298
1010,27,6,0.222222224
1011,18,1,0.055555556
1012,14,2,0.142857149
1013,26,2,0.0769230798
1014,15,3,0.200000003
1015,18,1,0.055555556
1016,15,2,0.13333334
1017,24,1,0.0416666679
1018,14,2,0.142857149
1019,19,1,0.0526315793
1020,22,4,0.181818187
1021,23,5,0.217391297
1022,29,4,0.137931034
1023,21,2,0.095238097
1024,11,3,0.272727281
1025,20,5,0.25
1026,16,0,0
1027,23,4,0.173913047
1028,17,0,0
1029,16,2,0.125
1030,18,3,0.166666672
1031,23,3,0.130434781
1032,19,2,0.105263159
1033,15,2,0.13333334
1034,15,1,0.0666666701
1035,22,4,0.181818187
1036,13,3,0.230769232
1037,20,2,0.100000001
1038,12,1,0.0833333358
1039,6,2,0.333333343
1040,18,2,0.111111112
1041,17,3,0.176470593
1042,23,3,0.130434781
1043,17,2,0.117647059
1044,25,5,0.200000003
1045,12,1,0.0833333358
1046,16,2,0.125
1047,20,0,0
1048,16,1,0.0625
1049,18,1,0.055555556
1050,23,2,0.0869565234
1051,21,3,0.142857149
1052,21,6,0.285714298
1053,18,3,0.166666672
1054,21,4,0.190476194
1055,19,4,0.210526317
1056,18,2,0.111111112
1057,9,3,0.333333343
1058,16,1,0.0625
1059,13,3,0.230769232
1060,16,4,0.25
1061,19,4,0.210526317
1062,17,4,0.235294119
1063,13,2,0.15384616
1064,25,4,0.159999996
1065,15,2,0.13333334
1066,24,4,0.166666672
1067,14,4,0.285714298
1068,15,3,0.200000003
1069,23,2,0.0869565234
1070,24,5,0.208333328
1071,23,5,0.217391297
1072,15,5,0.333333343
1073,17,2,0.117647059
1074,16,0,0
1075,17,2,0.117647059
1076,27,2,0.0740740746
1077,16,5,0.3125
1078,15,0,0
1079,12,1,0.0833333358
1080,15,1,0.0666666701
1081,10,0,0
1082,23,3,0.130434781
1083,19,4,0.210526317
1084,18,2,0.111111112
1085,21,2,0.095238097
1086,17,5,0.294117659
1087,16,3,0.1875
1088,13,2,0.15384616
1089,22,4,0.181818187
1090,27,3,0.111111112
1091,18,2,0.111111112
1092,16,2,0.125
1093,17,1,0.0588235296
1094,19,4,0.210526317
1095,26,0,0
1096,19,4,0.210526317
1097,25,4,0.159999996
1098,20,3,0.150000006
1099,19,1,0.0526315793
1100,21,4,0.190476194
1101,18,2,0.111111112
1102,17,6,0.352941185
1103,19,2,0.105263159
1104,17,1,0.0588235296
1105,21,3,0.142857149
1106,12,1,0.0833333358
1107,14,2,0.142857149
1108,17,2,0.117647059
1109,10,3,0.300000012
1110,17,2,0.117647059
1111,10,3,0.300000012
1112,18,2,0.111111112
1113,12,4,0.333333343
1114,17,2,0.117647059
1115,21,1,0.0476190485
1116,26,4,0.15384616
1117,14,2,0.142857149
1118,19,0,0
1119,15,2,0.13333334
1120,14,2,0.142857149
1121,17,2,0.117647059
1122,16,2,0.125
1123,15,1,0.0666666701
1124,23,7,0.304347813
1125,11,2,0.181818187
1126,15,1,0.0666666701
1127,23,3,0.130434781
1128,14,2,0.142857149
1129,19,2,0.105263159
1130,17,3,0.176470593
1131,19,3,0.157894731
1132,20,1,0.0500000007
1133,20,3,0.150000006
1134,16,4,0.25
1135,13,2,0.15384616
1136,10,3,0.300000012
1137,19,2,0.105263159
1138,13,3,0.230769232
1139,12,1,0.0833333358
1140,20,5,0.25
1141,15,0,0
1142,15,1,0.0666666701
1143,19,1,0.0526315793
1144,12,1,0.0833333358
1145,21,4,0.190476194
1146,15,2,0.13333334
1147,16,4,0.25
1148,16,4,0.25
1149,18,3,0.166666672
1150,18,2,0.111111112
1151,9,1,0.111111112
1152,16,2,0.125
1153,12,1,0.0833333358
1154,18,2,0.111111112
1155,20,0,0
1156,15,1,0.0666666701
